ts_raw,iso_utc_raw,ts_adj,iso_utc_adj,symbol,status,open,high,low,close
1771176120,2026-02-15T17:22:00+00:00,1771169290,2026-02-15T15:28:10+00:00,CHFJPY_otc,LIVE,199.956,200.041,199.923,200.022
1771176540,2026-02-15T17:29:00+00:00,1771169710,2026-02-15T15:35:10+00:00,CHFJPY_otc,LIVE,200.026,200.139,200.014,200.085
1771176960,2026-02-15T17:36:00+00:00,1771170130,2026-02-15T15:42:10+00:00,CHFJPY_otc,LIVE,200.337,200.348,200.257,200.296
1771170000,2026-02-15T15:40:00+00:00,0,1771176960,2026-02-15T17:36:00+00:00,1771170130,2026-02-15T15:42:10+00:00,CHFJPY_otc,LIVE,200.337,200.348,200.257,200.296
1771170060,2026-02-15T15:41:00+00:00,1,1771176960,2026-02-15T17:36:00+00:00,1771170130,2026-02-15T15:42:10+00:00,CHFJPY_otc,LIVE,200.337,200.348,200.257,200.296
1771170120,2026-02-15T15:42:00+00:00,1,1771176960,2026-02-15T17:36:00+00:00,1771170130,2026-02-15T15:42:10+00:00,CHFJPY_otc,LIVE,200.337,200.348,200.257,200.296
1771170180,2026-02-15T15:43:00+00:00,1,1771176960,2026-02-15T17:36:00+00:00,1771170130,2026-02-15T15:42:10+00:00,CHFJPY_otc,LIVE,200.337,200.348,200.257,200.296
1771170240,2026-02-15T15:44:00+00:00,1,1771176960,2026-02-15T17:36:00+00:00,1771170130,2026-02-15T15:42:10+00:00,CHFJPY_otc,LIVE,200.337,200.348,200.257,200.296
1771170300,2026-02-15T15:45:00+00:00,1,1771176960,2026-02-15T17:36:00+00:00,1771170130,2026-02-15T15:42:10+00:00,CHFJPY_otc,LIVE,200.337,200.348,200.257,200.296
1771170360,2026-02-15T15:46:00+00:00,0,1771177380,2026-02-15T17:43:00+00:00,1771170550,2026-02-15T15:49:10+00:00,CHFJPY_otc,LIVE,200.128,200.134,199.985,200.052
1771170420,2026-02-15T15:47:00+00:00,1,1771177380,2026-02-15T17:43:00+00:00,1771170550,2026-02-15T15:49:10+00:00,CHFJPY_otc,LIVE,200.128,200.134,199.985,200.052
1771170480,2026-02-15T15:48:00+00:00,1,1771177380,2026-02-15T17:43:00+00:00,1771170550,2026-02-15T15:49:10+00:00,CHFJPY_otc,LIVE,200.128,200.134,199.985,200.052
1771170570,2026-02-15T15:49:30+00:00,0,1771177380,2026-02-15T17:43:00+00:00,1771170550,2026-02-15T15:49:10+00:00,CHFJPY_otc,LIVE,200.128,200.134,199.985,200.052
1771170630,2026-02-15T15:50:30+00:00,1,1771177380,2026-02-15T17:43:00+00:00,1771170550,2026-02-15T15:49:10+00:00,CHFJPY_otc,LIVE,200.128,200.134,199.985,200.052
1771170690,2026-02-15T15:51:30+00:00,1,1771177380,2026-02-15T17:43:00+00:00,1771170550,2026-02-15T15:49:10+00:00,CHFJPY_otc,LIVE,200.128,200.134,199.985,200.052
1771170750,2026-02-15T15:52:30+00:00,0,1771177800,2026-02-15T17:50:00+00:00,1771170970,2026-02-15T15:56:10+00:00,CHFJPY_otc,LIVE,200.055,200.11,199.961,199.997
1771170810,2026-02-15T15:53:30+00:00,1,1771177800,2026-02-15T17:50:00+00:00,1771170970,2026-02-15T15:56:10+00:00,CHFJPY_otc,LIVE,200.055,200.11,199.961,199.997
1771170870,2026-02-15T15:54:30+00:00,1,1771177800,2026-02-15T17:50:00+00:00,1771170970,2026-02-15T15:56:10+00:00,CHFJPY_otc,LIVE,200.055,200.11,199.961,199.997
1771170930,2026-02-15T15:55:30+00:00,1,1771177800,2026-02-15T17:50:00+00:00,1771170970,2026-02-15T15:56:10+00:00,CHFJPY_otc,LIVE,200.055,200.11,199.961,199.997
1771170990,2026-02-15T15:56:30+00:00,1,1771177800,2026-02-15T17:50:00+00:00,1771170970,2026-02-15T15:56:10+00:00,CHFJPY_otc,LIVE,200.055,200.11,199.961,199.997
1771171050,2026-02-15T15:57:30+00:00,1,1771177800,2026-02-15T17:50:00+00:00,1771170970,2026-02-15T15:56:10+00:00,CHFJPY_otc,LIVE,200.055,200.11,199.961,199.997
1771171110,2026-02-15T15:58:30+00:00,1,1771177800,2026-02-15T17:50:00+00:00,1771170970,2026-02-15T15:56:10+00:00,CHFJPY_otc,LIVE,200.055,200.11,199.961,199.997
1771171305,2026-02-15T16:01:45+00:00,0,1771178220,2026-02-15T17:57:00+00:00,1771171390,2026-02-15T16:03:10+00:00,CHFJPY_otc,LIVE,199.783,199.805,199.726,199.758
1771171365,2026-02-15T16:02:45+00:00,1,1771178220,2026-02-15T17:57:00+00:00,1771171390,2026-02-15T16:03:10+00:00,CHFJPY_otc,LIVE,199.783,199.805,199.726,199.758
1771171425,2026-02-15T16:03:45+00:00,0,1771178460,2026-02-15T18:01:00+00:00,1771171630,2026-02-15T16:07:10+00:00,CHFJPY_otc,LIVE,199.833,199.84,199.77,199.788
1771171485,2026-02-15T16:04:45+00:00,1,1771178460,2026-02-15T18:01:00+00:00,1771171630,2026-02-15T16:07:10+00:00,CHFJPY_otc,LIVE,199.833,199.84,199.77,199.788
1771171545,2026-02-15T16:05:45+00:00,1,1771178460,2026-02-15T18:01:00+00:00,1771171630,2026-02-15T16:07:10+00:00,CHFJPY_otc,LIVE,199.833,199.84,199.77,199.788
1771171605,2026-02-15T16:06:45+00:00,1,1771178460,2026-02-15T18:01:00+00:00,1771171630,2026-02-15T16:07:10+00:00,CHFJPY_otc,LIVE,199.833,199.84,199.77,199.788
1771171665,2026-02-15T16:07:45+00:00,1,1771178460,2026-02-15T18:01:00+00:00,1771171630,2026-02-15T16:07:10+00:00,CHFJPY_otc,LIVE,199.833,199.84,199.77,199.788
1771171725,2026-02-15T16:08:45+00:00,1,1771178460,2026-02-15T18:01:00+00:00,1771171630,2026-02-15T16:07:10+00:00,CHFJPY_otc,LIVE,199.833,199.84,199.77,199.788
1771171785,2026-02-15T16:09:45+00:00,1,1771178460,2026-02-15T18:01:00+00:00,1771171630,2026-02-15T16:07:10+00:00,CHFJPY_otc,LIVE,199.833,199.84,199.77,199.788
1771171845,2026-02-15T16:10:45+00:00,0,1771178880,2026-02-15T18:08:00+00:00,1771172050,2026-02-15T16:14:10+00:00,CHFJPY_otc,LIVE,199.624,199.662,199.565,199.608
1771171905,2026-02-15T16:11:45+00:00,1,1771178880,2026-02-15T18:08:00+00:00,1771172050,2026-02-15T16:14:10+00:00,CHFJPY_otc,LIVE,199.624,199.662,199.565,199.608
1771171965,2026-02-15T16:12:45+00:00,1,1771178880,2026-02-15T18:08:00+00:00,1771172050,2026-02-15T16:14:10+00:00,CHFJPY_otc,LIVE,199.624,199.662,199.565,199.608
1771172025,2026-02-15T16:13:45+00:00,1,1771178880,2026-02-15T18:08:00+00:00,1771172050,2026-02-15T16:14:10+00:00,CHFJPY_otc,LIVE,199.624,199.662,199.565,199.608
1771172085,2026-02-15T16:14:45+00:00,1,1771178880,2026-02-15T18:08:00+00:00,1771172050,2026-02-15T16:14:10+00:00,CHFJPY_otc,LIVE,199.624,199.662,199.565,199.608
1771172145,2026-02-15T16:15:45+00:00,1,1771178880,2026-02-15T18:08:00+00:00,1771172050,2026-02-15T16:14:10+00:00,CHFJPY_otc,LIVE,199.624,199.662,199.565,199.608
1771172205,2026-02-15T16:16:45+00:00,1,1771178880,2026-02-15T18:08:00+00:00,1771172050,2026-02-15T16:14:10+00:00,CHFJPY_otc,LIVE,199.624,199.662,199.565,199.608
1771172265,2026-02-15T16:17:45+00:00,0,1771179300,2026-02-15T18:15:00+00:00,1771172470,2026-02-15T16:21:10+00:00,CHFJPY_otc,LIVE,199.623,199.707,199.609,199.661
