1771165500,CADCHF_otc,LIVE,0.60153,0.60207,0.60122,0.60134,1,1,1
1771165560,CADCHF_otc,LIVE,0.60123,0.60133,0.60043,0.60118,1,1,1
1771165620,CADCHF_otc,LIVE,0.60118,0.60134,0.60012,0.60118,1,1,1
1771165680,CADCHF_otc,LIVE,0.60118,0.60176,0.60097,0.60128,1,1,1
1771165740,CADCHF_otc,LIVE,0.60128,0.60164,0.60092,0.6016,1,1,1
1771165800,CADCHF_otc,LIVE,0.6016,0.60271,0.60149,0.60271,0,1,0
1771165860,CADCHF_otc,LIVE,0.60279,0.6035,0.6026,0.60333,1,1,1
1771165920,CADCHF_otc,LIVE,0.60338,0.60338,0.60204,0.60204,0,0,0
1771165980,CADCHF_otc,LIVE,0.60204,0.60277,0.60186,0.60267,1,1,1
1771166040,CADCHF_otc,LIVE,0.60267,0.60302,0.60214,0.60258,1,1,1
1771166100,CADCHF_otc,LIVE,0.60258,0.60364,0.60217,0.60364,0,1,0
1771166160,CADCHF_otc,LIVE,0.6036,0.60443,0.60346,0.60438,1,1,1
1771166220,CADCHF_otc,LIVE,0.60441,0.6045,0.6038,0.60382,1,1,1
1771166280,CADCHF_otc,LIVE,0.60378,0.60422,0.60307,0.6032,1,1,1
1771166340,CADCHF_otc,LIVE,0.60326,0.60386,0.60315,0.60346,1,1,1
1771166400,CADCHF_otc,LIVE,0.60343,0.60378,0.60262,0.60286,1,1,1
1771166460,CADCHF_otc,LIVE,0.60291,0.60299,0.60177,0.60223,1,1,1
1771166520,CADCHF_otc,LIVE,0.60217,0.60282,0.6019,0.60255,1,1,1
1771166580,CADCHF_otc,LIVE,0.60235,0.60268,0.6021,0.6021,1,0,0
1771166640,CADCHF_otc,LIVE,0.60213,0.60221,0.60161,0.60174,1,1,1
1771166700,CADCHF_otc,LIVE,0.60178,0.60178,0.60014,0.60086,0,1,0
1771166760,CADCHF_otc,LIVE,0.60089,0.60139,0.60073,0.60074,1,1,1
1771166820,CADCHF_otc,LIVE,0.60074,0.602,0.60073,0.602,0,1,0
1771166880,CADCHF_otc,LIVE,0.60197,0.60325,0.60197,0.60322,1,0,0
1771166940,CADCHF_otc,LIVE,0.60324,0.60324,0.60258,0.60266,0,1,0
1771167000,CADCHF_otc,LIVE,0.60274,0.60302,0.60168,0.60193,1,1,1
1771167060,CADCHF_otc,LIVE,0.60186,0.60198,0.60004,0.60004,1,0,0
1771167120,CADCHF_otc,LIVE,0.60004,0.60069,0.5999,0.60027,1,1,1
1771167180,CADCHF_otc,LIVE,0.60027,0.60116,0.60002,0.60099,1,1,1
1771167240,CADCHF_otc,LIVE,0.60099,0.60133,0.60048,0.60056,1,1,1
