ts,symbol,status,open,high,low,close,upper,lower,is_cross
1771162080,CHFJPY_otc,LIVE,199.447,199.463,199.335,199.37,1,1,1
1771162140,CHFJPY_otc,LIVE,199.37,199.392,199.289,199.37,1,1,1
1771162200,CHFJPY_otc,LIVE,199.37,199.387,199.285,199.368,1,1,1
1771162260,CHFJPY_otc,LIVE,199.368,199.444,199.343,199.386,1,1,1
1771162320,CHFJPY_otc,LIVE,199.392,199.412,199.314,199.339,1,1,1
1771162380,CHFJPY_otc,LIVE,199.335,199.371,199.258,199.288,1,1,1
1771162440,CHFJPY_otc,LIVE,199.288,199.349,199.232,199.235,1,1,1
1771162500,CHFJPY_otc,LIVE,199.235,199.243,199.113,199.117,1,1,1
1771162560,CHFJPY_otc,LIVE,199.129,199.176,199.073,199.073,1,0,0
1771162620,CHFJPY_otc,LIVE,199.076,199.126,198.986,198.986,1,0,0
1771162680,CHFJPY_otc,LIVE,198.984,199.082,198.981,199.026,1,1,1
1771162740,CHFJPY_otc,LIVE,199.026,199.113,198.994,199.003,1,1,1
1771162800,CHFJPY_otc,LIVE,199.003,199.003,198.949,198.978,0,1,0
1771162860,CHFJPY_otc,LIVE,198.984,199.01,198.891,198.991,1,1,1
1771162920,CHFJPY_otc,LIVE,198.986,199.003,198.88,198.894,1,1,1
1771162980,CHFJPY_otc,LIVE,198.888,198.924,198.828,198.867,1,1,1
1771163040,CHFJPY_otc,LIVE,198.87,198.887,198.757,198.785,1,1,1
1771163100,CHFJPY_otc,LIVE,198.785,198.785,198.657,198.662,0,1,0
1771163160,CHFJPY_otc,LIVE,198.655,198.799,198.653,198.787,1,1,1
1771163220,CHFJPY_otc,LIVE,198.794,198.845,198.776,198.808,1,1,1
1771163280,CHFJPY_otc,LIVE,198.805,198.826,198.75,198.783,1,1,1
1771163340,CHFJPY_otc,LIVE,198.777,198.832,198.684,198.694,1,1,1
1771163400,CHFJPY_otc,LIVE,198.691,198.748,198.666,198.675,1,1,1
1771163460,CHFJPY_otc,LIVE,198.671,198.822,198.665,198.764,1,1,1
1771163520,CHFJPY_otc,LIVE,198.764,198.903,198.764,198.87,1,0,0
1771163580,CHFJPY_otc,LIVE,198.87,198.914,198.865,198.878,1,1,1
1771163640,CHFJPY_otc,LIVE,198.878,198.954,198.812,198.904,1,1,1
1771163700,CHFJPY_otc,LIVE,198.907,199.021,198.891,198.991,1,1,1
1771163760,CHFJPY_otc,LIVE,198.991,199.09,198.985,199.08,1,1,1
1771163820,CHFJPY_otc,LIVE,199.08,199.109,198.98,199.026,1,1,1
1771163460,CHFJPY_otc,LIVE,198.671,198.822,198.665,198.764,1,1,1
1771163520,CHFJPY_otc,LIVE,198.764,198.903,198.764,198.87,1,0,0
1771163580,CHFJPY_otc,LIVE,198.87,198.914,198.865,198.878,1,1,1
1771163640,CHFJPY_otc,LIVE,198.878,198.954,198.812,198.904,1,1,1
1771163700,CHFJPY_otc,LIVE,198.907,199.021,198.891,198.991,1,1,1
