2026-02-15 14:51:32 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:34 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:35 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:36 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:37 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:38 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:40 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:41 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:42 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:43 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:44 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:46 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:47 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:48 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:49 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:50 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:52 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:53 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:54 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:55 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:56 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:58 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:51:59 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:52:00 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
2026-02-15 14:52:01 HTTP error: URLError(ConnectionRefusedError(61, 'Connection refused'))
